Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"R1"	"RES-TH_BD2.3-L6.5-P10.50-D0.5"	"22.23mm"	"18.8mm"	"22.23mm"	"18.8mm"	"16.98mm"	"18.8mm"	"T"	"0"	"4.7Ω"
"R2"	"RES-TH_BD2.3-L6.5-P10.50-D0.5"	"38.61mm"	"19.56mm"	"38.61mm"	"19.56mm"	"33.36mm"	"19.56mm"	"T"	"0"	"4.7Ω"
"R3"	"RES-TH_BD2.3-L6.5-P10.50-D0.5"	"37.21mm"	"52.2mm"	"37.21mm"	"52.2mm"	"31.96mm"	"52.2mm"	"T"	"0"	"4.7Ω"
"R4"	"RES-TH_BD2.3-L6.5-P10.50-D0.5"	"22.23mm"	"52.32mm"	"22.23mm"	"52.32mm"	"16.98mm"	"52.32mm"	"T"	"0"	"4.7Ω"
"R5"	"RES-TH_BD2.3-L6.5-P10.50-D0.5"	"46.86mm"	"43.31mm"	"46.86mm"	"43.31mm"	"46.86mm"	"48.56mm"	"T"	"270"	"4.7Ω"
"R6"	"RES-TH_BD2.3-L6.5-P10.50-D0.5"	"47.12mm"	"29.08mm"	"47.12mm"	"29.08mm"	"47.12mm"	"34.33mm"	"T"	"270"	"4.7Ω"
"SW1"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"23.37mm"	"43.31mm"	"23.37mm"	"43.31mm"	"20.12mm"	"45.56mm"	"T"	"0"	"SKHHAKA010"
"SW2"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"37.47mm"	"43.43mm"	"37.47mm"	"43.43mm"	"34.22mm"	"45.68mm"	"T"	"0"	"SKHHAKA010"
"U1"	"LED-TH_BD3.9-P2.54-RD_GREEN"	"24.13mm"	"26.92mm"	"24.13mm"	"26.92mm"	"22.86mm"	"26.92mm"	"T"	"0"	"L-3N4GD"
"U2"	"LED-TH_BD3.9-P2.54-RD_GREEN"	"38.23mm"	"26.92mm"	"38.23mm"	"26.92mm"	"36.96mm"	"26.92mm"	"T"	"0"	"L-3N4GD"
"U3"	"TO-251_L6.5-W2.3-P2.30-L"	"38.1mm"	"34.16mm"	"38.1mm"	"34.16mm"	"35.8mm"	"34.16mm"	"T"	"0"	"2SD1899-Z_C16513"
"U4"	"TO-251_L6.5-W2.3-P2.30-L"	"23.5mm"	"33.91mm"	"23.5mm"	"33.91mm"	"21.2mm"	"33.91mm"	"T"	"0"	"2SD1899-Z_C16513"
